Accession Number,fd_14721_sfd_44665_s | fd_24238_s | fd_15748_s | fd_4519_s | fd_24660_s | fd_24689_s | fd_31110_s | fd_51020_s | fd_25454_s | fd_36156_s | fd_3163_s | fd_58691_s | fd_41085_s | fd_25704_s | fd_1475_s | fd_1508_s | fd_1541_s | fd_22773_s | fd_20057_s | fd_44725_s | fd_17179_s | fd_3372_s | fd_41006_s | fd_1957_s | fd_3458_s | fd_3503_s | fd_2088_s | fd_2116_s | fd_3540_s | fd_42113_s | fd_2143_s | fd_2187_s | fd_28515_s | fd_52316_s | fd_2262_s | fd_2336_s | fd_52352_s | fd_18688_s | fd_31044_s | fd_47903_s | fd_47937_s | fd_4466_s | fd_40123_s | fd_31015_s | fd_5335_s | fd_5374_s | fd_5536_s | fd_3124_s | fd_34860_s | fd_42381_s | fd_21817_s | fd_22268_s | fd_51673_s | fd_52747_s | 
Multigenerational,fd_51052_s
Image_OriginalVendorID,fd_35666_sfd_46686_s | fd_21190_s | fd_21266_s | fd_5466_s | 
Month,fd_43480_s
"Shared Shelf Commons, Cornell: Plant Pathology Herbarium (CUP): Published On",publishing_status-168-updated_on
"ARTstor Workspace, Obama Visual Iconography: Published On",publishing_status-249-updated_on
Directions,fd_4553_sfd_5558_s | 
Image Measurements,fd_4494_s
Deaccession Date,fd_51067_s
"Shared Shelf Commons, Billie Jean Isbell Andean Collection: Status",publishing_status.101.status
CULAR Depositor NetID,fd_28707_s
Architect Earliest Date,fd_50382_s
"ARTstor Workspace, Cornell: Billie Jean Isbell Andean Collection: Published By",publishing_status.149.updated_by
Working Files Location,fd_56973_s
Reps Sequence No.,fd_28388_s
Inscription,fd_26729_sfd_2125_s | fd_35683_s | fd_21870_s | fd_58241_s | fd_34461_s | 
"Shared Shelf Commons, Cornell: John Reps Collection: Published On",publishing_status-438-updated_on
Graphical Depiction Term,fd_50378_s
Medium (original),fd_26741_lookup
"ARTstor Workspace, Cornell: The Joe Conzo, Jr  Archive: Status",publishing_status.324.status
"Shared Shelf Commons, Cornell: Alison Mason Kingsbury: Life and Art: Published By",publishing_status.85.updated_by
Image Agent Role,fd_4490_s
Subject Interpretation,fd_2385_s
"Shared Shelf Commons, Cornell: Political Americana Collection: Published By",publishing_status.1131.updated_by
"Shared Shelf Commons, Cornell: Persuasive Cartography: The PJ Mode Collection: Published By",publishing_status.956.updated_bypublishing_status.1674.updated_by | 
Restrictions on Access,fd_28694_mfcl_lookup
Image Relation Type,fd_4498_s
"ARTstor Workspace, Cornell: Laboratory of Ornithology Gallery of Bird and Wildlife Art: Status",publishing_status.1352.status
Country,fd_14727_mfcl_lookupfd_44671_mfcl_lookup | fd_24244_mfcl_lookup | fd_35660_mfcl_lookup | fd_15754_mfcl_lookup | fd_4525_mfcl_lookup | fd_24666_mfcl_lookup | fd_4801_mfcl_lookup | fd_31116_mfcl_lookup | fd_51026_mfcl_lookup | fd_25460_mfcl_lookup | fd_36162_mfcl_lookup | fd_3169_mfcl_lookup | fd_58674_mfcl_lookup | fd_41091_mfcl_lookup | fd_1481_mfcl_lookup | fd_1514_mfcl_lookup | fd_1547_mfcl_lookup | fd_4095_mfcl_lookup | fd_22779_mfcl_lookup | fd_20063_mfcl_lookup | fd_44731_mfcl_lookup | fd_17185_mfcl_lookup | fd_3378_mfcl_lookup | fd_31584_mfcl_lookup | fd_41012_mfcl_lookup | fd_46680_mfcl_lookup | fd_27338_mfcl_lookup | fd_1979_mfcl_lookup | fd_3464_mfcl_lookup | fd_3509_mfcl_lookup | fd_2094_mfcl_lookup | fd_2118_mfcl_lookup | fd_3546_mfcl_lookup | fd_42119_mfcl_lookup | fd_2149_mfcl_lookup | fd_2193_mfcl_lookup | fd_29983_mfcl_lookup | fd_28521_mfcl_lookup | fd_52322_mfcl_lookup | fd_2268_mfcl_lookup | fd_2312_mfcl_lookup | fd_2342_mfcl_lookup | fd_52358_mfcl_lookup | fd_18694_mfcl_lookup | fd_30055_mfcl_lookup | fd_31050_mfcl_lookup | fd_47909_mfcl_lookup | fd_47943_mfcl_lookup | fd_4472_mfcl_lookup | fd_40106_mfcl_lookup | fd_31021_mfcl_lookup | fd_21183_mfcl_lookup | fd_21259_mfcl_lookup | fd_5341_mfcl_lookup | fd_38638_s | fd_5460_mfcl_lookup | fd_5538_mfcl_lookup | fd_3130_mfcl_lookup | fd_34866_mfcl_lookup | fd_42387_mfcl_lookup | fd_21823_mfcl_lookup | fd_58239_mfcl_lookup | fd_53981_mfcl_lookup | fd_6340_mfcl_lookup | fd_22270_mfcl_lookup | fd_51679_mfcl_lookup | fd_52753_mfcl_lookup | 
_Institutional Repository Address,fd_28705_s
"ARTstor Workspace, Archivision Library - Module 8 - Cornell: Published On",publishing_status-420-updated_on
Physical Action Note,fd_4016_s
Loan Record,fd_51069_s
"Shared Shelf Commons, Cornell: Historic Glacial Images of Alaska and Greenland: Published By",publishing_status.1235.updated_by
"Shared Shelf Commons, Cornell: Campus Artifacts, Art & Memorabilia: Published By",publishing_status.157.updated_by
Architect,fd_47923_lookup
Donor,fd_15768_sfd_51039_s | fd_1491_s | fd_2168_s | fd_6846_mfcl_lookup | fd_21835_s | fd_22280_s | 
Date designed for,fd_47954_s
"Shared Shelf Commons, Cornell: The Joe Conzo, Jr  Archive: Published On",publishing_status-325-updated_on
City,fd_50384_lookup
